episode_index,step_index,reward,terminated,truncated,target_satisfied,action_1,action_2,action_3,action_4,action_5,var_outer_resonator_width,var_middle_resonator_width,var_adjacent_coupling_gap,var_cross_coupling_gap,var_feed_offset,metric_main_peak_freq_hz,metric_main_peak_s21_db,metric_main_peak_s11_db,metric_best_s11_freq_hz,metric_best_s11_db,metric_passband_left_freq_hz,metric_passband_right_freq_hz,metric_bandwidth_3db_hz,metric_high_side_zero_freq_hz,metric_high_side_zero_s21_db
1,1,10.140941338406389,True,False,True,-0.5962257385253906,0.12755724787712097,0.555109441280365,0.2863185405731201,-0.7946338057518005,11.85,23.0,1.15,1.8,4.55,906000000.0,-1.081291272895,-36.50658997900223,905000000.0,-41.40256696824701,884709154.8122785,929081894.4822401,44372739.66996157,944000000.0,-27.74939029248154
2,1,10.446523833676556,True,False,True,-0.5655543208122253,0.1426900327205658,0.5351553559303284,0.2981216013431549,-0.7675894498825073,11.95,23.05,1.15,1.9000000000000001,4.5,908000000.0,-1.1055129166337465,-23.400549946826242,911000000.0,-25.01680635540851,884494022.7159051,929891316.030539,45397293.314633965,946000000.0,-30.635521574235337
3,1,9.856015176562304,True,False,True,-0.5528028607368469,0.13129375874996185,0.5205654501914978,0.2825410068035126,-0.7433943748474121,11.95,23.0,1.2,1.85,4.55,906000000.0,-1.0484630317468961,-27.191497994267003,910000000.0,-36.81821546091979,882306730.8384029,929216826.5319208,46910095.69351792,943000000.0,-28.26837368209596
4,1,10.303931518706744,True,False,True,-0.5876732468605042,0.1353205144405365,0.5501894354820251,0.29264774918556213,-0.7883701324462891,11.9,23.05,1.15,1.85,4.5,906000000.0,-1.0591143877633271,-30.265807037419034,906000000.0,-30.265807037419034,883943662.4784645,929171811.1712763,45228148.69281185,944000000.0,-27.786497132079617
5,1,9.883521527221449,True,False,True,-0.5578661561012268,0.1172182485461235,0.5193442702293396,0.26617980003356934,-0.7407684922218323,11.85,23.0,1.2,1.8,4.5,906000000.0,-1.081291272895,-36.50658997900223,905000000.0,-41.40256696824701,884709154.8122785,929081894.4822401,44372739.66996157,944000000.0,-27.74939029248154
6,1,9.907008535437969,True,False,True,-0.5780306458473206,0.11806533485651016,0.5363782644271851,0.26860353350639343,-0.7666342258453369,11.95,22.95,1.2,1.8,4.449999999999999,906000000.0,-1.0786579922435031,-44.54408490181517,906000000.0,-44.54408490181517,884718009.8527895,929042805.0827888,44324795.229999304,944000000.0,-28.0380181193428
7,1,10.304971280249818,True,False,True,-0.5890021324157715,0.13458247482776642,0.5510585308074951,0.2924332916736603,-0.7902629375457764,11.9,23.1,1.15,1.9000000000000001,4.55,903000000.0,-1.1221283453279387,-27.21658614813301,903000000.0,-27.21658614813301,883744026.4161133,926937516.3908226,43193489.97470939,944000000.0,-30.095109223526748
8,1,9.898941677821771,True,False,True,-0.5728384852409363,0.12463022023439407,0.533685564994812,0.2755510210990906,-0.764034628868103,11.9,23.0,1.2,1.9000000000000001,4.5,907000000.0,-1.1001364629444688,-28.43516424112071,908000000.0,-29.694714869268125,885289840.0798702,929885058.9519516,44595218.8720814,946000000.0,-30.40920198410946
9,1,10.030366562124229,True,False,True,-0.586708128452301,0.13434134423732758,0.5489763617515564,0.2908269464969635,-0.7862588167190552,11.9,23.1,1.1,1.85,4.5,901000000.0,-1.0229526569808525,-25.740645020848348,900000000.0,-27.834916904009198,880315678.6214648,928862659.2003605,48546980.57889569,945000000.0,-29.08199110232517
10,1,9.911441677821772,True,False,True,-0.573756992816925,0.12529303133487701,0.5346949696540833,0.27707764506340027,-0.7660812139511108,11.9,23.05,1.2,1.9000000000000001,4.5,907000000.0,-1.1001364629444688,-28.43516424112071,908000000.0,-29.694714869268125,885289840.0798702,929885058.9519516,44595218.8720814,946000000.0,-30.40920198410946
11,1,9.898941677821771,True,False,True,-0.5728384852409363,0.12463022023439407,0.533685564994812,0.2755510210990906,-0.764034628868103,11.9,23.0,1.2,1.9000000000000001,4.5,907000000.0,-1.1001364629444688,-28.43516424112071,908000000.0,-29.694714869268125,885289840.0798702,929885058.9519516,44595218.8720814,946000000.0,-30.40920198410946
12,1,9.911441677821772,True,False,True,-0.5730789303779602,0.1255425363779068,0.5343486666679382,0.27709582448005676,-0.7652466893196106,11.9,23.0,1.2,1.9000000000000001,4.5,907000000.0,-1.1001364629444688,-28.43516424112071,908000000.0,-29.694714869268125,885289840.0798702,929885058.9519516,44595218.8720814,946000000.0,-30.40920198410946
