timesteps,episode_reward,episode_length
6,-6.856848,6
12,-3.436647,6
15,9.938209,3
21,-3.545124,6
27,-4.055093,6
33,-5.077965,6
39,-11.441699,6
40,10.198209,1
46,-5.652866,6
52,-7.501442,6
58,-11.618046,6
64,-9.740511,6
66,9.896324,2
72,6.530254,6
78,-6.584204,6
84,-3.153677,6
86,9.699891,2
92,-6.839139,6
93,9.559029,1
97,8.754974,4
98,9.62832,1
104,8.805969,6
110,8.073803,6
111,9.823229,1
117,-2.360478,6
123,-4.463246,6
128,9.157118,5
129,9.885609,1
135,-3.506039,6
138,8.873179,3
144,-5.226137,6
145,9.916539,1
151,-9.992724,6
156,7.965701,5
159,10.137995,3
160,10.20487,1
163,10.682721,3
165,9.567152,2
171,-5.78979,6
172,10.727233,1
173,9.671644,1
175,10.649171,2
181,-8.605625,6
187,-9.620054,6
190,9.756287,3
196,-5.606727,6
202,6.906891,6
206,9.312826,4
207,9.832811,1
208,9.982658,1
214,-7.266965,6
220,-1.940981,6
226,-5.914896,6
228,9.425946,2
229,9.948595,1
235,-8.543583,6
236,9.688986,1
242,8.081706,6
248,-5.846683,6
250,10.522734,2
251,9.623633,1
