episode_index,step_index,reward,terminated,truncated,target_satisfied,action_1,action_2,action_3,action_4,action_5,var_outer_resonator_width,var_middle_resonator_width,var_adjacent_coupling_gap,var_cross_coupling_gap,var_feed_offset,metric_main_peak_freq_hz,metric_main_peak_s21_db,metric_main_peak_s11_db,metric_best_s11_freq_hz,metric_best_s11_db,metric_passband_left_freq_hz,metric_passband_right_freq_hz,metric_bandwidth_3db_hz,metric_high_side_zero_freq_hz,metric_high_side_zero_s21_db
1,1,10.15344133840639,True,False,True,-0.41337668895721436,-0.09745671600103378,0.7031262516975403,0.5690882802009583,-0.824509859085083,11.85,22.95,1.15,1.8,4.55,906000000.0,-1.081291272895,-36.50658997900223,905000000.0,-41.40256696824701,884709154.8122785,929081894.4822401,44372739.66996157,944000000.0,-27.74939029248154
2,1,10.459023833676556,True,False,True,-0.411058247089386,-0.0966327115893364,0.7003657221794128,0.5732402205467224,-0.8228470683097839,11.95,23.0,1.15,1.9000000000000001,4.5,908000000.0,-1.1055129166337465,-23.400549946826242,911000000.0,-25.01680635540851,884494022.7159051,929891316.030539,45397293.314633965,946000000.0,-30.635521574235337
3,1,9.843515176562303,True,False,True,-0.41087549924850464,-0.06116225942969322,0.6797720193862915,0.5611346364021301,-0.7844943404197693,11.95,22.95,1.2,1.85,4.5,906000000.0,-1.0484630317468961,-27.191497994267003,910000000.0,-36.81821546091979,882306730.8384029,929216826.5319208,46910095.69351792,943000000.0,-28.26837368209596
4,1,10.316431518706745,True,False,True,-0.41841384768486023,-0.08865583688020706,0.7071248292922974,0.5778039693832397,-0.8247932195663452,11.9,23.0,1.15,1.85,4.5,906000000.0,-1.0591143877633271,-30.265807037419034,906000000.0,-30.265807037419034,883943662.4784645,929171811.1712763,45228148.69281185,944000000.0,-27.786497132079617
5,1,9.92069379373384,True,False,True,-0.40390440821647644,-0.052912671118974686,0.6630358695983887,0.543561577796936,-0.7620365023612976,11.85,23.0,1.2,1.8,4.449999999999999,906000000.0,-1.1125331267425935,-32.81207876331886,905000000.0,-40.9215887076141,886195605.8603257,928695936.6465409,42500330.786215186,945000000.0,-27.667962745051664
6,1,9.907008535437969,True,False,True,-0.4093071520328522,-0.061301685869693756,0.6733166575431824,0.5495811700820923,-0.7747793793678284,11.95,22.95,1.2,1.8,4.449999999999999,906000000.0,-1.0786579922435031,-44.54408490181517,906000000.0,-44.54408490181517,884718009.8527895,929042805.0827888,44324795.229999304,944000000.0,-28.0380181193428
7,1,10.287419413328658,True,False,True,-0.41738638281822205,-0.09034306555986404,0.7065381407737732,0.5767970085144043,-0.8250126242637634,11.9,23.05,1.15,1.9000000000000001,4.55,907000000.0,-1.1001364629444688,-28.43516424112071,908000000.0,-29.694714869268125,885289840.0798702,929885058.9519516,44595218.8720814,946000000.0,-30.40920198410946
8,1,9.898941677821771,True,False,True,-0.41545259952545166,-0.05362090468406677,0.6805539131164551,0.561090350151062,-0.7796589136123657,11.9,23.0,1.2,1.9000000000000001,4.5,907000000.0,-1.1001364629444688,-28.43516424112071,908000000.0,-29.694714869268125,885289840.0798702,929885058.9519516,44595218.8720814,946000000.0,-30.40920198410946
9,1,10.193266194469803,True,False,True,-0.41605085134506226,-0.09233056753873825,0.7061377763748169,0.5766077041625977,-0.824842095375061,11.9,23.05,1.1,1.85,4.5,904000000.0,-0.9941808412759017,-30.451965085671944,904000000.0,-30.451965085671944,881788811.0133978,931722470.5141077,49933659.50070989,947000000.0,-29.252769716769514
10,1,9.923941677821771,True,False,True,-0.4168478846549988,-0.05085941031575203,0.6804560422897339,0.5610860586166382,-0.7789164781570435,11.9,23.0,1.2,1.9000000000000001,4.5,907000000.0,-1.1001364629444688,-28.43516424112071,908000000.0,-29.694714869268125,885289840.0798702,929885058.9519516,44595218.8720814,946000000.0,-30.40920198410946
11,1,9.898941677821771,True,False,True,-0.41545259952545166,-0.05362090468406677,0.6805539131164551,0.561090350151062,-0.7796589136123657,11.9,23.0,1.2,1.9000000000000001,4.5,907000000.0,-1.1001364629444688,-28.43516424112071,908000000.0,-29.694714869268125,885289840.0798702,929885058.9519516,44595218.8720814,946000000.0,-30.40920198410946
12,1,9.923941677821771,True,False,True,-0.41715097427368164,-0.05006050318479538,0.6804908514022827,0.5614280700683594,-0.7786109447479248,11.9,22.95,1.2,1.9000000000000001,4.5,907000000.0,-1.1001364629444688,-28.43516424112071,908000000.0,-29.694714869268125,885289840.0798702,929885058.9519516,44595218.8720814,946000000.0,-30.40920198410946
