timesteps,episode_reward,episode_length
6,-4.0999,6
12,-6.124705,6
18,-6.45142,6
24,-6.131078,6
30,-6.439298,6
36,-6.790175,6
42,-4.515485,6
48,-11.185011,6
54,-6.637629,6
60,-5.915958,6
65,7.882407,5
71,-4.956948,6
76,7.309892,5
82,-6.801528,6
88,-8.558942,6
92,9.13824,4
93,9.664584,1
94,9.924333,1
95,10.060178,1
101,-5.11013,6
107,-5.547735,6
108,9.659125,1
114,-4.223637,6
115,9.788431,1
121,-3.97835,6
127,-2.222922,6
130,9.687644,3
136,-8.984985,6
142,-6.108682,6
144,9.774638,2
150,-9.729061,6
156,-9.227617,6
158,9.579794,2
159,9.930242,1
160,9.82752,1
162,9.460315,2
165,9.100773,3
166,9.835401,1
170,9.239553,4
176,-6.651937,6
177,9.778739,1
183,-8.375152,6
185,9.442979,2
189,9.212008,4
190,9.91384,1
191,10.20065,1
197,-6.752421,6
198,10.893343,1
199,9.759165,1
205,-2.664885,6
211,-4.504709,6
212,10.296597,1
218,8.015714,6
224,-3.537253,6
225,9.886869,1
231,-7.492994,6
232,9.855398,1
233,10.069624,1
234,9.733016,1
236,9.92471,2
238,10.310088,2
244,-5.809819,6
245,10.170457,1
251,-3.203649,6
252,9.772559,1
