sample_id,status,analysis_available,target_satisfied,elapsed_seconds,runtime_report_level,runtime_ratio_to_reference,constraint_violation,tracking_error,total_loss,main_peak_freq_hz,bandwidth_3db_hz,main_peak_s21_db,best_s11_db,high_side_zero_freq_hz,high_side_zero_s21_db,center_freq_error_hz,bandwidth_error_hz,insertion_loss_error_db,return_loss_error_db,high_side_zero_freq_error_hz,high_side_zero_depth_error_db,var_outer_resonator_width,var_middle_resonator_width,var_adjacent_coupling_gap,var_cross_coupling_gap,var_feed_offset
sample_0001,ANALYZED,True,False,62.185775699999795,ok,0.9799677965655352,5.3609115532224525,8.360911553222452,7.451139441528065,914000000.0,9341620.842968822,-4.121103944447308,-8.482175020564789,1050000000.0,-32.2915209093174,9000000.0,-30658379.15703118,2.1211039444473077,6.517824979435211,100000000.0,-12.291520909317398,11.8,22.8,0.5499999999999999,1.7,4.75
sample_0002,ANALYZED,True,False,62.801372099998844,ok,1.009899312070478,6.106597617832248,9.106597617832248,8.38324702229031,915000000.0,8261022.983534217,-4.854928374516075,-7.4214640660855205,1050000000.0,-35.47626219163671,10000000.0,-31738977.016465783,2.854928374516075,7.5785359339144795,100000000.0,-15.476262191636707,11.8,22.8,0.5499999999999999,1.75,4.6
sample_0003,ANALYZED,True,False,61.97836669999924,ok,0.991755837154961,4.688359835205655,7.688359835205655,6.610449794007069,913000000.0,10606398.522072911,-3.5652035051341047,-9.504030977311599,1050000000.0,-27.02521665970885,8000000.0,-29393601.47792709,1.5652035051341047,5.495969022688401,100000000.0,-7.02521665970885,11.8,22.85,0.44999999999999996,1.8,4.75
sample_0004,ANALYZED,True,False,61.618167800001174,ok,0.9908723836985341,6.114925843947634,9.114925843947635,8.393657304934543,915000000.0,8314960.759782672,-4.871086084384691,-7.336816833996661,1050000000.0,-31.53634136059404,10000000.0,-31685039.240217328,2.8710860843846913,7.663183166003339,100000000.0,-11.53634136059404,11.8,22.85,0.6,1.9500000000000002,4.6499999999999995
sample_0005,ANALYZED,True,False,62.475540600000386,ok,1.0063378909948621,4.053290325283867,7.053290325283867,5.816612906604834,910000000.0,10616692.010766268,-3.5252109489916403,-9.7146892220299,1050000000.0,-27.17346583165066,5000000.0,-29383307.989233732,1.5252109489916403,5.2853107779701,100000000.0,-7.17346583165066,11.8,22.9,0.4,1.8,4.6499999999999995
sample_0006,ANALYZED,True,False,62.56410549999964,ok,1.0060838639663354,4.721696411552778,7.721696411552778,6.6521205144409725,911000000.0,9522064.601614475,-4.077539892274372,-8.473006116344408,1050000000.0,-29.277689574069168,6000000.0,-30477935.398385525,2.0775398922743724,6.526993883655592,100000000.0,-9.277689574069168,11.8,22.9,0.49999999999999994,1.9000000000000001,4.449999999999999
sample_0007,ANALYZED,True,False,62.41105079999943,ok,1.0012897770115932,4.825719924090288,7.825719924090288,6.78214990511286,911000000.0,9208723.038722992,-4.213780865908018,-8.404473074871328,1050000000.0,-31.111501842415873,6000000.0,-30791276.961277008,2.213780865908018,6.595526925128672,100000000.0,-11.111501842415873,11.8,22.9,0.5499999999999999,1.75,4.75
sample_0008,ANALYZED,True,False,63.334068000000116,ok,1.014789323175451,4.699944127460742,7.299944127460742,6.524930159325928,908000000.0,9169072.84171474,-4.308362722577793,-8.059949244850204,1050000000.0,-31.70645813029506,3000000.0,-30830927.15828526,2.308362722577793,6.940050755149796,100000000.0,-11.706458130295061,11.8,22.95,0.49999999999999994,1.85,4.6
sample_0009,ANALYZED,True,False,63.043126100001246,ok,1.009606001625589,4.7515958555427575,7.351595855542757,6.589494819428447,908000000.0,9055541.494982839,-4.375517937887427,-7.959134458540083,1050000000.0,-31.86604654759836,3000000.0,-30944458.50501716,2.3755179378874267,7.040865541459917,100000000.0,-11.866046547598359,11.8,23.0,0.44999999999999996,1.8,4.699999999999999
sample_0010,ANALYZED,True,False,63.15404259999923,ok,1.010860282175755,4.7515958555427575,7.351595855542757,6.589494819428447,908000000.0,9055541.494982839,-4.375517937887427,-7.959134458540083,1050000000.0,-31.86604654759836,3000000.0,-30944458.50501716,2.3755179378874267,7.040865541459917,100000000.0,-11.866046547598359,11.8,23.0,0.49999999999999994,1.85,4.699999999999999
sample_0011,ANALYZED,True,False,62.71724539999923,ok,1.0031577560582878,4.6258787876793095,7.225878787679309,6.432348484599137,908000000.0,9297435.546260118,-4.211313169823754,-8.250513639098337,1050000000.0,-31.428456515837595,3000000.0,-30702564.45373988,2.211313169823754,6.749486360901663,100000000.0,-11.428456515837595,11.8,23.0,0.5499999999999999,1.85,4.6499999999999995
sample_0012,ANALYZED,True,False,63.05815440000151,ok,1.0078966828671734,4.648422991524347,7.248422991524348,6.460528739405434,908000000.0,9283311.051380873,-4.243038838321907,-8.171479837477785,1050000000.0,-31.55783242721158,3000000.0,-30716688.948619127,2.2430388383219073,6.828520162522215,100000000.0,-11.55783242721158,11.8,23.05,0.44999999999999996,1.8,4.5
sample_0013,ANALYZED,True,False,62.8641975999999,ok,1.0035683227933723,4.586744397659156,7.186744397659156,6.383430497073945,908000000.0,9329745.60540247,-4.150525045778417,-8.33315347034708,1050000000.0,-33.37233451638561,3000000.0,-30670254.39459753,2.1505250457784166,6.66684652965292,100000000.0,-13.372334516385607,11.8,23.05,0.5499999999999999,1.7,4.6499999999999995
sample_0014,ANALYZED,True,False,63.01482720000058,ok,1.0047448161682393,4.125888594139258,6.325888594139258,5.707360742674072,904000000.0,10460268.135187149,-3.6033709948672743,-9.446551346634964,1050000000.0,-27.894883438658695,-1000000.0,-29539731.86481285,1.6033709948672743,5.553448653365036,100000000.0,-7.894883438658695,11.8,23.1,0.44999999999999996,1.75,4.6499999999999995
sample_0015,ANALYZED,True,False,63.467852399999174,ok,1.0112898574587972,4.74386230753783,6.943862307537829,6.479827884422287,906000000.0,9027884.364043355,-4.3609742941065495,-8.007546046666647,1050000000.0,-34.355298267613385,1000000.0,-30972115.635956645,2.3609742941065495,6.992453953333353,100000000.0,-14.355298267613385,11.8,23.1,0.49999999999999994,1.7,4.699999999999999
sample_0016,ANALYZED,True,False,63.03532509999968,ok,1.0037252848493232,5.2597490761665195,7.659749076166519,7.1746863452081495,907000000.0,7975674.236684918,-5.07044618314906,-7.168598876092785,1050000000.0,-37.715150213769874,2000000.0,-32024325.76331508,3.07044618314906,7.831401123907215,100000000.0,-17.715150213769874,11.8,23.1,0.6,1.85,4.699999999999999
sample_0017,ANALYZED,True,False,62.559820299999046,ok,0.9956556986825911,4.212955177836962,6.812955177836963,5.9161939722962025,902000000.0,10261241.35035801,-3.701527479032956,-9.175266399655719,1050000000.0,-28.451770399515745,-3000000.0,-29738758.64964199,1.701527479032956,5.824733600344281,100000000.0,-8.451770399515745,11.8,23.15,0.44999999999999996,1.75,4.75
sample_0018,ANALYZED,True,False,63.049587299999985,ok,1.003952384983021,4.654899274371891,7.054899274371891,6.418624092964864,903000000.0,9100676.726176977,-4.233988213269499,-8.280407394677407,1050000000.0,-34.851922954190385,-2000000.0,-30899323.273823023,2.233988213269499,6.7195926053225925,100000000.0,-14.851922954190385,11.8,23.15,0.49999999999999994,1.7,4.5
sample_0019,ANALYZED,True,False,62.66896760000054,ok,0.9973928061538271,4.54207843363004,6.942078433630041,6.277598042037551,903000000.0,9363998.650433183,-4.09058307002636,-8.502198545097324,1050000000.0,-34.56395144678024,-2000000.0,-30636001.349566817,2.0905830700263603,6.497801454902676,100000000.0,-14.563951446780237,11.8,23.15,0.5499999999999999,1.7,4.449999999999999
sample_0020,ANALYZED,True,False,62.980304000000615,ok,1.0028491718256864,4.746438079684127,7.146438079684128,6.533047599605159,903000000.0,8881043.588321805,-4.3510610018885485,-8.114820936419497,1050000000.0,-31.001709395528813,-2000000.0,-31118956.411678195,2.3510610018885485,6.8851790635805035,100000000.0,-11.001709395528813,11.8,23.15,0.5499999999999999,1.9000000000000001,4.75
sample_0021,ANALYZED,True,False,63.62650179999946,ok,1.01263221026881,5.107749232884717,7.307749232884717,6.934686541105896,904000000.0,8172114.089173198,-4.846884504894409,-7.477224159677517,1050000000.0,-38.30572985104515,-1000000.0,-31827885.910826802,2.846884504894409,7.522775840322483,100000000.0,-18.30572985104515,11.8,23.15,0.6,1.85,4.55
sample_0022,ANALYZED,True,False,62.78109100000074,ok,0.9986779979197705,5.26445087405087,7.464450874050869,7.130563592563587,904000000.0,7899217.25718987,-5.0594950717708205,-7.1306240417333075,1050000000.0,-35.542466530521224,-1000000.0,-32100782.74281013,3.0594950717708205,7.8693759582666925,100000000.0,-15.542466530521224,11.8,23.15,0.6,1.9000000000000001,4.6
sample_0023,ANALYZED,True,False,63.06262240000069,ok,1.0036579239731298,5.239757460007165,7.439757460007164,7.099696825008956,904000000.0,7938210.962471008,-5.031667921558841,-7.233831067877331,1050000000.0,-33.44136215907154,-1000000.0,-32061789.03752899,3.0316679215588413,7.766168932122669,100000000.0,-13.441362159071538,11.8,23.15,0.6,1.9500000000000002,4.5
sample_0024,ANALYZED,True,False,62.948590899999544,ok,1.001342470010301,4.705325782823831,7.105325782823831,6.481657228529789,903000000.0,8993690.52118814,-4.2994010872037745,-8.175085629888637,1050000000.0,-34.915883401943915,-2000000.0,-31006309.47881186,2.2994010872037745,6.8249143701113635,100000000.0,-14.915883401943915,11.8,23.2,0.44999999999999996,1.7,4.6
sample_0025,ANALYZED,True,False,63.33356139999887,ok,1.0067905203452214,4.677215912113191,7.077215912113191,6.446519890141488,903000000.0,9018879.938477993,-4.268950582173182,-8.33057077688401,1050000000.0,-32.55726917786059,-2000000.0,-30981120.061522007,2.268950582173182,6.669429223115991,100000000.0,-12.55726917786059,11.8,23.25,0.44999999999999996,1.8,4.5
sample_0026,ANALYZED,True,False,63.2316222999998,ok,1.0044962309076924,5.316942617249339,7.516942617249339,7.196178271561673,904000000.0,7812141.827572107,-5.1344466221487135,-7.0359976660171135,1050000000.0,-35.63995128236312,-1000000.0,-32187858.172427893,3.1344466221487135,7.9640023339828865,100000000.0,-15.639951282363121,11.8,23.25,0.5499999999999999,1.9000000000000001,4.699999999999999
sample_0027,ANALYZED,True,False,63.51029910000034,ok,1.0086692041637262,5.220315022211615,7.420315022211614,7.075393777764519,904000000.0,7966477.0377498865,-5.003854152434995,-7.274465253463412,1050000000.0,-33.293894898506025,-1000000.0,-32033522.962250113,3.003854152434995,7.725534746536588,100000000.0,-13.293894898506025,11.8,23.25,0.6,1.9500000000000002,4.6499999999999995
sample_0028,ANALYZED,True,False,63.156236299999364,ok,1.0027934495203255,5.2070511393548715,8.007051139354871,7.208813924193589,901000000.0,7980060.957413316,-4.985202743719687,-7.313162051454603,1050000000.0,-39.42836069375683,-4000000.0,-32019939.042586684,2.985202743719687,7.686837948545397,100000000.0,-19.42836069375683,11.8,23.3,0.6,1.8,4.5
sample_0029,ANALYZED,True,False,62.59056419999979,ok,0.993539410672072,5.415966460603818,8.415966460603817,7.519958075754772,914000000.0,9213015.53307128,-4.199416562521506,-8.436604010247107,1050000000.0,-30.401796283367375,9000000.0,-30786984.46692872,2.199416562521506,6.563395989752893,100000000.0,-10.401796283367375,11.85,22.8,0.49999999999999994,1.85,4.699999999999999
sample_0030,ANALYZED,True,False,62.09225549999974,ok,0.9858995837809728,5.380520449367346,8.380520449367346,7.475650561709182,914000000.0,9334517.661720753,-4.135561524006251,-8.307128196955563,1050000000.0,-29.05968357269899,9000000.0,-30665482.338279247,2.135561524006251,6.6928718030444365,100000000.0,-9.05968357269899,11.85,22.8,0.49999999999999994,1.9000000000000001,4.5
sample_0031,ANALYZED,True,False,61.99536050000097,ok,0.9846089819057229,6.123976719288197,9.123976719288196,8.404970899110246,915000000.0,8185740.45387423,-4.888194038083025,-7.523193815488394,1050000000.0,-35.31104047473339,10000000.0,-31814259.54612577,2.888194038083025,7.476806184511606,100000000.0,-15.311040474733389,11.85,22.8,0.5499999999999999,1.8,4.699999999999999
sample_0032,ANALYZED,True,False,61.956496400000105,ok,0.9842396074985144,6.0150168762552765,9.015016876255277,8.268771095319096,915000000.0,8385221.565615296,-4.738434832471723,-7.735175751285832,1050000000.0,-35.16261631846764,10000000.0,-31614778.434384704,2.7384348324717234,7.264824248714168,100000000.0,-15.162616318467641,11.85,22.8,0.6,1.8,4.5
